City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Erenhot,CN,79.57,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
2,Atuona,PF,77.72,clear sky,-9.8,-139.0333,Villa Enata
3,Chalus,IR,78.26,broken clouds,36.655,51.4204,Rama Spa
6,Kavieng,PG,82.96,light rain,-2.5744,150.7967,Nusa Island Retreat
8,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
10,Rikitea,PF,73.44,clear sky,-23.1203,-134.9692,People ThankYou
11,Ozinki,RU,64.58,few clouds,51.1786,49.6769,Korolevskiy Dvor
12,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
15,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Saint-Leu,RE,67.06,scattered clouds,-21.15,55.2833,La Caz Oceane
21,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
23,Zabid,YE,84.87,overcast clouds,14.1951,43.3152,مغرب التريبه
24,Arraial Do Cabo,BR,69.98,clear sky,-22.9661,-42.0278,Pousada Porto Praia
25,Atambua,ID,75.69,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
28,Cornelio Procopio,BR,65.7,clear sky,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
32,Kununurra,AU,64.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
35,Pirgos,GR,76.62,clear sky,35.1167,25.7178,Elpida Village
37,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
39,Balkanabat,TM,83.88,clear sky,39.5108,54.3671,Nebitchi Hotel
45,Grand Gaube,MU,68.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
53,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
54,Puqi,CN,82.53,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
56,Dingle,PH,80.8,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
59,Sao Filipe,CV,76.23,broken clouds,14.8961,-24.4956,Hotel Xaguate
61,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
62,Sao Joao Da Barra,BR,68.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
66,Veere,NL,68.02,overcast clouds,51.5483,3.6667,Hof Christina Hoevehotel
69,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
70,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Gdansk,PL,69.51,clear sky,54.3521,18.6464,Q Hotel Grand Cru Gdańsk
76,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
77,Kieta,PG,84.43,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
78,San Quintin,MX,74.37,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
80,Shimoda,JP,79.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
82,Butaritari,KI,81.07,light rain,3.0707,172.7902,Isles Sunset Lodge
89,Cordoba,AR,61.75,clear sky,-31.4135,-64.1811,Hotel Sussex
92,Apango,MX,77.63,overcast clouds,17.7333,-99.3333,Agua Inmaculada Apango
93,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
98,Hasaki,JP,84.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
101,Benguela,AO,65.93,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
103,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
104,Imbituba,BR,64.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
