City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Erenhot,CN,43.6475,111.9767,79.57,28,19,8.28,few clouds
1,Pangnirtung,CA,66.1451,-65.7125,47.08,86,100,2.66,light rain
2,Atuona,PF,-9.8,-139.0333,77.72,75,6,14.38,clear sky
3,Chalus,IR,36.655,51.4204,78.26,78,75,0.0,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,33.82,74,40,21.85,scattered clouds
5,Hare Bay,CA,48.8499,-54.0148,63.75,94,100,13.49,overcast clouds
6,Kavieng,PG,-2.5744,150.7967,82.96,75,94,11.34,light rain
7,Chuy,UY,-33.6971,-53.4616,57.11,95,17,7.43,few clouds
8,Geraldton,AU,-28.7667,114.6,63.01,94,75,16.11,broken clouds
9,Hobart,AU,-42.8794,147.3294,39.25,96,20,9.22,few clouds
10,Rikitea,PF,-23.1203,-134.9692,73.44,74,0,3.85,clear sky
11,Ozinki,RU,51.1786,49.6769,64.58,56,14,7.47,few clouds
12,Thompson,CA,55.7435,-97.8558,62.76,82,75,14.97,broken clouds
13,Airai,TL,-8.9266,125.4092,63.37,80,89,3.76,overcast clouds
14,Bethel,US,41.3712,-73.414,87.67,65,36,7.52,scattered clouds
15,Vaini,TO,-21.2,-175.2,78.96,78,40,9.22,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,31.66,74,75,14.97,broken clouds
17,Hermanus,ZA,-34.4187,19.2345,50.29,74,0,6.46,clear sky
18,Saint-Leu,RE,-21.15,55.2833,67.06,66,36,9.26,scattered clouds
19,Bilibino,RU,68.0546,166.4372,52.72,44,93,5.88,overcast clouds
20,Saint George,US,37.1041,-113.5841,108.19,15,0,18.41,clear sky
21,Yellowknife,CA,62.456,-114.3525,70.32,40,75,10.36,broken clouds
22,Mataura,NZ,-46.1927,168.8643,41.49,81,100,3.04,overcast clouds
23,Zabid,YE,14.1951,43.3152,84.87,53,100,6.71,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,69.98,87,4,10.67,clear sky
25,Atambua,ID,-9.1061,124.8925,75.69,74,99,3.94,overcast clouds
26,Puerto Escondido,MX,15.85,-97.0667,86.83,58,40,5.75,scattered clouds
27,Abu Samrah,SY,35.3029,37.1841,74.39,67,0,14.94,clear sky
28,Cornelio Procopio,BR,-23.1811,-50.6467,65.7,64,3,6.29,clear sky
29,Cape Town,ZA,-33.9258,18.4232,56.37,78,0,3.44,clear sky
30,Antofagasta,CL,-23.65,-70.4,56.48,82,90,1.3,overcast clouds
31,Laguna,US,38.421,-121.4238,106.75,19,0,8.05,clear sky
32,Kununurra,AU,-15.7667,128.7333,64.38,77,67,0.0,broken clouds
33,Tasiilaq,GL,65.6145,-37.6368,39.36,79,78,1.92,broken clouds
34,Esperance,AU,-33.8667,121.9,58.96,67,100,20.83,light rain
35,Pirgos,GR,35.1167,25.7178,76.62,50,0,13.09,clear sky
36,Castro,BR,-24.7911,-50.0119,57.13,92,1,4.29,clear sky
37,Kloulklubed,PW,7.0419,134.2556,79.3,72,82,2.53,broken clouds
38,Narsaq,GL,60.9167,-46.05,53.82,93,69,1.39,broken clouds
39,Balkanabat,TM,39.5108,54.3671,83.88,50,0,3.22,clear sky
40,Te Anau,NZ,-45.4167,167.7167,41.83,85,97,2.62,overcast clouds
41,Kaitangata,NZ,-46.2817,169.8464,43.03,81,100,8.68,overcast clouds
42,Bluff,NZ,-46.6,168.3333,41.81,67,100,7.74,overcast clouds
43,Pangoa,PE,-12.1167,-73.0,70.5,83,82,1.74,broken clouds
44,Youkounkoun,GN,12.5333,-13.1333,73.8,93,100,6.11,overcast clouds
45,Grand Gaube,MU,-20.0064,57.6608,68.4,66,94,10.0,overcast clouds
46,Luderitz,NA,-26.6481,15.1594,56.08,62,8,14.5,clear sky
47,Naze,JP,28.3667,129.4833,83.32,83,78,16.42,broken clouds
48,Jamestown,US,42.097,-79.2353,85.59,58,0,11.5,clear sky
49,Qaanaaq,GL,77.484,-69.3632,40.51,82,100,2.77,overcast clouds
50,Ketchikan,US,55.3422,-131.6461,59.47,67,100,9.22,overcast clouds
51,Busselton,AU,-33.65,115.3333,56.26,92,100,12.33,overcast clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,8.05,overcast clouds
53,Ponta Do Sol,PT,32.6667,-17.1,71.71,78,7,5.44,clear sky
54,Puqi,CN,29.7167,113.8833,82.53,88,100,1.86,overcast clouds
55,Tessalit,ML,20.1986,1.0114,76.91,66,99,17.49,overcast clouds
56,Dingle,PH,10.9995,122.6711,80.8,82,87,1.36,moderate rain
57,Kodinsk,RU,58.6881,99.1844,60.13,79,86,3.94,overcast clouds
58,Severo-Kurilsk,RU,50.6789,156.125,52.72,96,99,11.52,light rain
59,Sao Filipe,CV,14.8961,-24.4956,76.23,88,75,4.92,broken clouds
60,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,5.75,broken clouds
61,Marsa Matruh,EG,31.3525,27.2453,75.4,73,0,5.75,clear sky
62,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.2,93,6,7.81,clear sky
63,Cabo San Lucas,MX,22.8909,-109.9124,97.61,51,0,23.02,clear sky
64,Nanortalik,GL,60.1432,-45.2371,49.23,88,29,13.18,scattered clouds
65,Chokurdakh,RU,70.6333,147.9167,51.3,55,77,7.9,broken clouds
66,Veere,NL,51.5483,3.6667,68.02,89,93,10.36,overcast clouds
67,San Patricio,US,28.017,-97.5169,93.54,58,20,20.42,few clouds
68,Raudeberg,NO,61.9875,5.1352,54.27,92,100,7.18,overcast clouds
69,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,13.8,light rain
70,Kapaa,US,22.0752,-159.319,84.52,72,20,14.97,few clouds
71,Provideniya,RU,64.3833,-173.3,48.36,76,100,22.37,overcast clouds
72,Hilo,US,19.7297,-155.09,84.27,73,75,4.61,broken clouds
73,Gdansk,PL,54.3521,18.6464,69.51,84,0,1.14,clear sky
74,Bredasdorp,ZA,-34.5322,20.0403,44.28,89,0,5.5,clear sky
75,Buala,SB,-8.145,159.5921,85.14,66,100,7.92,overcast clouds
76,Alexandria,EG,31.2156,29.9553,76.96,73,0,12.66,clear sky
77,Kieta,PG,-6.2167,155.6333,84.43,68,90,4.03,overcast clouds
78,San Quintin,MX,30.4833,-115.95,74.37,67,30,12.59,scattered clouds
79,Nemuro,JP,43.3236,145.575,59.2,89,59,5.7,broken clouds
80,Shimoda,JP,34.6667,138.95,79.16,77,96,8.84,overcast clouds
